"location","year","season","tmax_avg"
"liestal",2010,"Winter",41.6666666666667
"liestal",2010,"Spring",155.945652173913
"liestal",2010,"Summer",257.608695652174
"liestal",2010,"Fall",148.945054945055
"liestal",2011,"Winter",52.9444444444444
"liestal",2011,"Spring",200.489130434783
"liestal",2011,"Summer",256.467391304348
"liestal",2011,"Fall",170.395604395604
"liestal",2012,"Winter",61.6373626373626
"liestal",2012,"Spring",181.130434782609
"liestal",2012,"Summer",258.130434782609
"liestal",2012,"Fall",157.747252747253
"liestal",2013,"Winter",48.5888888888889
"liestal",2013,"Spring",137.173913043478
"liestal",2013,"Summer",267.347826086957
"liestal",2013,"Fall",156.901098901099
"liestal",2014,"Winter",79.8888888888889
"liestal",2014,"Spring",181.032608695652
"liestal",2014,"Summer",251.652173913043
"liestal",2014,"Fall",176.571428571429
"liestal",2015,"Winter",68.1935483870968
"liestal",2016,"Summer",268.016129032258
"liestal",2016,"Fall",159.131868131868
"liestal",2017,"Winter",51.9
"liestal",2017,"Spring",178.782608695652
"liestal",2017,"Summer",270.25
"liestal",2017,"Fall",158.10989010989
"liestal",2018,"Winter",63.2111111111111
"liestal",2018,"Spring",177.902173913043
"liestal",2018,"Summer",280.054347826087
"liestal",2018,"Fall",175.945054945055
"liestal",2019,"Winter",77.8555555555556
"liestal",2019,"Spring",160.804347826087
"liestal",2019,"Summer",275.673913043478
"liestal",2019,"Fall",165.43956043956
"liestal",2020,"Winter",92.8461538461538
"liestal",2020,"Spring",183.467391304348
"liestal",2020,"Summer",267.304347826087
"liestal",2020,"Fall",164.362637362637
"liestal",2021,"Winter",70.7888888888889
"liestal",2021,"Spring",149.108695652174
"liestal",2021,"Summer",247.445652173913
"liestal",2021,"Fall",158.637362637363
"liestal",2022,"Winter",67.6451612903226
"kyoto",1951,"Winter",91.7457627118644
"kyoto",1951,"Spring",188.782608695652
"kyoto",1951,"Summer",308.847826086957
"kyoto",1951,"Fall",228.725274725275
"kyoto",1952,"Winter",98.8901098901099
"kyoto",1952,"Spring",187.5
"kyoto",1952,"Summer",304.836956521739
"kyoto",1952,"Fall",233.637362637363
"kyoto",1953,"Winter",95.1888888888889
"kyoto",1953,"Spring",188.576086956522
"kyoto",1953,"Summer",295.29347826087
"kyoto",1953,"Fall",224.538461538462
"kyoto",1954,"Winter",112.088888888889
"kyoto",1954,"Spring",190.858695652174
"kyoto",1954,"Summer",286.586956521739
"kyoto",1954,"Fall",227.648351648352
"kyoto",1955,"Winter",102.833333333333
"kyoto",1955,"Spring",191.25
"kyoto",1955,"Summer",313.771739130435
"kyoto",1955,"Fall",224.043956043956
"kyoto",1956,"Winter",103.406593406593
"kyoto",1956,"Spring",182.336956521739
"kyoto",1956,"Summer",301.771739130435
"kyoto",1956,"Fall",223.175824175824
"kyoto",1957,"Winter",93.0222222222222
"kyoto",1957,"Spring",180.576086956522
"kyoto",1957,"Summer",295.576086956522
"kyoto",1957,"Fall",223.065934065934
"kyoto",1958,"Winter",104.544444444444
"kyoto",1958,"Spring",190.663043478261
"kyoto",1958,"Summer",306.79347826087
"kyoto",1958,"Fall",222.89010989011
"kyoto",1959,"Winter",111.511111111111
"kyoto",1959,"Spring",193.978260869565
"kyoto",1959,"Summer",307.967391304348
"kyoto",1959,"Fall",238.021978021978
"kyoto",1960,"Winter",112.406593406593
"kyoto",1960,"Spring",189.576086956522
"kyoto",1960,"Summer",309.260869565217
"kyoto",1960,"Fall",230.769230769231
"kyoto",1961,"Winter",93.9333333333333
"kyoto",1961,"Spring",199.445652173913
"kyoto",1961,"Summer",313.010869565217
"kyoto",1961,"Fall",244.912087912088
"kyoto",1962,"Winter",104.6
"kyoto",1962,"Spring",189.04347826087
"kyoto",1962,"Summer",300.54347826087
"kyoto",1962,"Fall",228.967032967033
"kyoto",1963,"Winter",86.5888888888889
"kyoto",1963,"Spring",186.478260869565
"kyoto",1963,"Summer",308.065217391304
"kyoto",1963,"Fall",216.505494505495
"kyoto",1964,"Winter",99.4395604395604
"kyoto",1964,"Spring",201.913043478261
"kyoto",1964,"Summer",313.184782608696
"kyoto",1964,"Fall",223.703296703297
"kyoto",1965,"Winter",99.2111111111111
"kyoto",1965,"Spring",172.413043478261
"kyoto",1965,"Summer",305.826086956522
"kyoto",1965,"Fall",224.153846153846
"kyoto",1966,"Winter",100.711111111111
"kyoto",1966,"Spring",186.29347826087
"kyoto",1966,"Summer",304.684782608696
"kyoto",1966,"Fall",229.043956043956
"kyoto",1967,"Winter",93.7
"kyoto",1967,"Spring",200.75
"kyoto",1967,"Summer",315.097826086957
"kyoto",1967,"Fall",228.153846153846
"kyoto",1968,"Winter",86.5604395604396
"kyoto",1968,"Spring",192.173913043478
"kyoto",1968,"Summer",298.586956521739
"kyoto",1968,"Fall",218.604395604396
"kyoto",1969,"Winter",107.322222222222
"kyoto",1969,"Spring",191.29347826087
"kyoto",1969,"Summer",304.010869565217
"kyoto",1969,"Fall",228.164835164835
"kyoto",1970,"Winter",99.7666666666667
"kyoto",1970,"Spring",177.086956521739
"kyoto",1970,"Summer",296.684782608696
"kyoto",1970,"Fall",227.076923076923
"kyoto",1971,"Winter",96.6555555555556
"kyoto",1971,"Spring",188.728260869565
"kyoto",1971,"Summer",301.608695652174
"kyoto",1971,"Fall",219.241758241758
"kyoto",1972,"Winter",111.395604395604
"kyoto",1972,"Spring",194.282608695652
"kyoto",1972,"Summer",307.934782608696
"kyoto",1972,"Fall",229.054945054945
"kyoto",1973,"Winter",112.677777777778
"kyoto",1973,"Spring",196
"kyoto",1973,"Summer",314.413043478261
"kyoto",1973,"Fall",213.21978021978
"kyoto",1974,"Winter",85.6333333333333
"kyoto",1974,"Spring",190.423913043478
"kyoto",1974,"Summer",301.760869565217
"kyoto",1974,"Fall",214.197802197802
"kyoto",1975,"Winter",88.5222222222222
"kyoto",1975,"Spring",184.086956521739
"kyoto",1975,"Summer",303.25
"kyoto",1975,"Fall",230.285714285714
"kyoto",1976,"Winter",101.417582417582
"kyoto",1976,"Spring",182.79347826087
"kyoto",1976,"Summer",293.54347826087
"kyoto",1976,"Fall",209.373626373626
